0,WP,NN,PDT,JJR,RB,.,VB,VBP,TO,POS,LS,$,WDT,JJ,VBG,``,:,IN,RP,CC,,,PRP,WP$,NNPS,RBR,NNS,MD,JJS,WRB,FW,NNP,(,SYM,),DT,'',CD,UH,#,EX,VBD,VBN,RBS,PRP$,VBZ
WP,1009,0,5,0,0,4,0,0,3,0,4,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,6,0,0,0,0,0,0,0,0,0,13,0,0,0
NN,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDT,15,0,5552,0,0,16,0,22,39,0,0,0,0,0,77,59,0,0,0,0,0,0,1,0,10,0,237,0,6,0,0,109,0,0,0,3,0,13,0,0,0,17,17,0,0
JJR,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
RB,0,0,0,0,113,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,3,0,1,1240,0,1,0,0,0,0,0,0,32,0,0,0,57,12,1,0,0,0,0,7,3,0,0,0,0,2,0,0,0,10,0,0,0,0,1,0,2,0,0
VB,0,0,0,0,0,0,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBP,5,0,10,0,0,4,0,1087,60,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,0,0,0,0,0,8,0,0,0,5,15,0,0
TO,1,0,4,0,0,2,0,28,586,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
POS,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,3,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
$,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDT,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJ,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
VBG,9,0,217,0,7,42,0,12,1,0,0,0,0,0,2551,64,0,0,8,0,0,0,0,0,3,1,37,0,5,0,0,117,0,0,0,0,0,64,1,0,0,5,63,0,0
``,3,0,34,0,0,5,0,6,5,0,0,0,0,0,12,539,0,0,3,0,0,0,0,0,2,0,12,0,0,0,0,6,0,0,0,0,0,4,0,0,0,19,32,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,1,0,0,61,0,0,0,0,0,0,0,19,3,0,0,0,4730,24,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,13,0,0,0,0,0,0,0,0,0
CC,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2,0,0,0,21,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
